CookerStat, GenerateAssetRegistry=0.038113, Initialize=0.207786, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_CA491D414E8F6463F__9A0463D775E23D71FF62B7254C0FCCF6DC8DDA04, StartTime=2016.04.06-14.35.00, HierarchicalDDC=, DataSize=1873, Duration=5.700417, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_1E1EB5CA4180C27BD__3818B47924C3941E0BA6502F131B9945B6DC88E4, StartTime=2016.04.06-14.35.00, HierarchicalDDC=, DataSize=889, Duration=4.863534, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_A0D29E0A46216994E__862FCEC8159915734B0AAE88CFD873F1AA80E830, StartTime=2016.04.06-14.35.00, HierarchicalDDC=, DataSize=401, Duration=5.640172, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_DFC39E2349894A9DE__83B7709FFF475FE594459FB205B9AC876314183E, StartTime=2016.04.06-14.35.00, HierarchicalDDC=, DataSize=1317, Duration=4.590582, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E23BE94A47D4939BA__5860428B90800AFEAB0EBFB20D3EF053169F878D, StartTime=2016.04.06-14.35.00, HierarchicalDDC=, DataSize=2277, Duration=4.058610, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_73__315F3F99925D28428952FFA84CFF16BD3A457E59, StartTime=2016.04.06-16.05.30, HierarchicalDDC=, DataSize=343061, Duration=9.572558, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_95F241414F7114C2DD1C5B9F59ABFBD__D0040104218D2595A2412D432FC34DF85B316085, StartTime=2016.04.06-16.05.30, HierarchicalDDC=, DataSize=96444, Duration=5.583208, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F534B8B646CA8470382C97AE3EED153__FEF84FCEB0955B46C346985F0885A4C5DF2DF2AB, StartTime=2016.04.06-16.05.30, HierarchicalDDC=, DataSize=96444, Duration=7.009029, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
SavePackageTransactionId6926A1B94B9B66A5F9ECFBB780ADC039_0, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Column_Pillar001.uasset, AutoPackageBackupDelegate=0.313114, FlushAsyncLoading=0.012297, FlushStreamingFunc=0.063114, BlockTillAllRequestsFinished=0.046313, ResetLoadersForSaveUnMarkAllObjects=3.076643, TagPackageExports=0.038113, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.755329, GatherLocalizableTextData=0.485659, MarkNames=0.013113, SerializeSummary=0.026640, SerializeNames=0.122543, SerializeGatherableTextData=0.002049, BuildExportMap=0.030737, SortExportsNonSeekfree=0.013113, SortExportsSeekfreeConstructor=0.229102, SortExportsSeekfreeInner=3.740579, SortExportsSeekfree=0.006966, BuildDependencyMap=0.017215, SerializeImportMap=0.011884, SerializeExportMap=0.005741, SerializeDependencyMap=0.020903, SerializeStringAssetReferenceMap=0.004098, SaveThumbNailsAssetRegistryDataWorldLevelInfo=14.972568, SerializeExports=0.284836, SerializeBulkData=0.452869, MoveFile=6.381567, UnaccountedTime=4.352875, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_22__93F55B6C504D2C3183C078CAE5F94A9C923D8D56, StartTime=2016.04.06-16.06.16, HierarchicalDDC=, DataSize=220081, Duration=8.222963, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DEF1A111401A03CACEB33F8B60F98B8__69B9D63F973B810EE1073842265BE23D0DC639B6, StartTime=2016.04.06-16.06.16, HierarchicalDDC=, DataSize=60686, Duration=6.312717, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_22__0AEC31FC3273F318B6207479A03A19F370DA078D, StartTime=2016.04.06-16.06.16, HierarchicalDDC=, DataSize=220081, Duration=5.864352, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
SavePackageTransactionId6926A1B94B9B66A5F9ECFBB780ADC039_1, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/TempAssets/Scene.uasset, AutoPackageBackupDelegate=6.065175, FlushAsyncLoading=0.013936, FlushStreamingFunc=0.091393, BlockTillAllRequestsFinished=0.006147, ResetLoadersForSaveUnMarkAllObjects=5.621731, TagPackageExports=0.033196, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.794675, GatherLocalizableTextData=0.374999, MarkNames=0.009425, SerializeSummary=0.014756, SerializeNames=0.079919, SerializeGatherableTextData=0.001639, BuildExportMap=0.072539, SortExportsNonSeekfree=0.031970, SortExportsSeekfreeConstructor=0.034835, SortExportsSeekfreeInner=0.988934, SortExportsSeekfree=0.004098, BuildDependencyMap=0.013527, SerializeImportMap=0.009838, SerializeExportMap=0.006147, SerializeDependencyMap=0.002868, SerializeStringAssetReferenceMap=0.002462, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.184033, SerializeExports=0.296723, SerializeBulkData=0.129096, MoveFile=5.475417, UnaccountedTime=1.736481, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B2BAD1C843BAFB8D59B7B899E2C59FC__1394AEE08A6D6603F65A5A7E393732BD34A460D6, StartTime=2016.04.06-16.07.15, HierarchicalDDC=, DataSize=97582, Duration=7.481977, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1EAC3E7E485D784B288091B01F2A1C4__5B0F70FB06B92BC2DC6390A83ADBDB184BBCC23F, StartTime=2016.04.06-16.07.17, HierarchicalDDC=, DataSize=97582, Duration=9.070918, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_40BD1FD54E35188DFE4D07B70CFC04B__6715A2AEC13485E0F362A6B8CCE8F37AE1AD3FDA, StartTime=2016.04.06-16.07.19, HierarchicalDDC=, DataSize=98326, Duration=12.713544, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_506E8B5D429F841A72145FA418B5D37__D3CFE7E7E86D5350E47B3E1B235C5AA2E1CD424D, StartTime=2016.04.06-16.07.21, HierarchicalDDC=, DataSize=98822, Duration=13.622563, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
SavePackageTransactionId6926A1B94B9B66A5F9ECFBB780ADC039_2, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=13.937727, FlushAsyncLoading=0.016395, FlushStreamingFunc=0.177868, BlockTillAllRequestsFinished=0.009838, ResetLoadersForSaveUnMarkAllObjects=56.766483, TagPackageExports=7.752474, BeginCacheForCookedPlatformData=0.005737, SerializeImports=9.380341, GatherLocalizableTextData=71.176758, MarkNames=0.554100, SerializeSummary=0.027049, SerializeNames=0.867214, SerializeGatherableTextData=0.021722, BuildExportMap=0.706971, SortExportsNonSeekfree=7.071320, SortExportsSeekfreeConstructor=0.112705, SortExportsSeekfreeInner=24.088976, SortExportsSeekfree=0.008196, BuildDependencyMap=0.364754, SerializeImportMap=0.065163, SerializeExportMap=0.141393, SerializeDependencyMap=0.033196, SerializeStringAssetReferenceMap=0.002872, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.446724, SerializeExports=27.692669, SerializeBulkData=421.724457, MoveFile=5.360663, UnaccountedTime=1.663119, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B50E4695F0D6DE833E407A74383BDE5E, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.143442, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_5, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_8C7DA5C24247A995E48E178132F5C68A, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.120495, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
