CookerStat, GenerateAssetRegistry=0.087295, Initialize=0.585657, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_AB__8082E445B63BA90BC13B5E2C002C013BCEF8B43E, StartTime=2016.04.15-18.06.22, HierarchicalDDC=, DataSize=156105, Duration=8.730754, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EC5B78824E02E4501B3CCC909FBC80D__6E7206BE3BE21FC8506718BC8754A9A6D07301C1, StartTime=2016.04.15-18.06.22, HierarchicalDDC=, DataSize=47704, Duration=10.777071, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_678D42F04A754741B7F898858F21351__090AD6EBC176C1A7C712C1D6882CA87CA5A712C7, StartTime=2016.04.15-18.06.22, HierarchicalDDC=, DataSize=48966, Duration=11.150024, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
SavePackageTransactionId043E36F8494A708345F2D59FD19EA3F8_0, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Building_Tower001.uasset, AutoPackageBackupDelegate=27.712353, FlushAsyncLoading=0.023771, FlushStreamingFunc=0.111066, BlockTillAllRequestsFinished=0.009835, ResetLoadersForSaveUnMarkAllObjects=0.912297, TagPackageExports=0.073768, BeginCacheForCookedPlatformData=0.002053, SerializeImports=1.111887, GatherLocalizableTextData=0.920493, MarkNames=0.016801, SerializeSummary=0.233609, SerializeNames=0.090163, SerializeGatherableTextData=0.001639, BuildExportMap=0.268854, SortExportsNonSeekfree=0.248361, SortExportsSeekfreeConstructor=0.600819, SortExportsSeekfreeInner=1.236070, SortExportsSeekfree=0.007786, BuildDependencyMap=0.023771, SerializeImportMap=0.015162, SerializeExportMap=0.008199, SerializeDependencyMap=0.002049, SerializeStringAssetReferenceMap=0.003278, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.601256, SerializeExports=0.395082, SerializeBulkData=0.143852, MoveFile=7.023376, UnaccountedTime=4.663125, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_55F196614AA4CF8AA85F289D713FC04B__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=458, Duration=6.240588, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ADF1164846AF21376CAD28AB5FCF58F4__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=347, Duration=3.022544, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DFF8F1A9440074EF365800B94792F6D7__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=437, Duration=9.093873, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1ECCE9244E1EC849EE24F8B3766841A2__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=347, Duration=2.321318, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1F3F709045043F75BD299E96D59D9A87__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=423, Duration=9.700433, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C68F6E694A8439D70DA0E2AC2319FD5D__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=347, Duration=2.571724, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_21EC503D4EF1BB48B2C406B6E4A9872E__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=347, Duration=6.768048, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_179EF555421931309824EDB0E715876C__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=347, Duration=4.861895, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7950F005492603BE7E80738659ADF016__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=423, Duration=7.604115, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9C25BA2241EA7C67880CB099BEBBC7AD__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=423, Duration=8.507803, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CF8A566E49E9D94305427F9C155ADF99__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=347, Duration=6.427471, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C90E9EEA4B4E4B8DD4F23EB52ACADFD3__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=347, Duration=17.518888, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B77BB23F41226A199C9A3FA90D8AAFAF__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=347, Duration=20.265203, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C78F241E49E6DBB56A9F1791AEDA27F7__1_0_13123_0, StartTime=2016.04.15-18.13.48, HierarchicalDDC=, DataSize=347, Duration=9.803709, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B095DE4A48E760482D36CF8D18D7ECA8__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=458, Duration=3.303695, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_12654A8B48C8F2F01F370FA5F6DCD630__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=2.020497, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_967991AE41D3F2D7CA5663AB0EC1C54D__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=437, Duration=8.960675, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5D4AFB82476A5700F6942AACD091413B__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=2.484843, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F189CB5B42D583781EF8F9AF27D8FAE9__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=423, Duration=2.400823, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2FEE2C4E43F0D0CB143588BA237E32C7__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=2.950415, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2783F0354D32E9E7C5517996DC2E2B85__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=3.252465, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BEA19E084D5F8EF783C0D3B2037C599B__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=4.265174, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_76828F6D4DFBB64468F3A1B5DE6A7A79__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=423, Duration=12.057402, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_033303314B81A4C83045F2B90F739858__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=423, Duration=12.036089, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7279068C479CCA071DE851A0CB876CFA__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=9.668053, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
