CookerStat, GenerateAssetRegistry=0.024181, Initialize=0.133608, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_DD7F85C9485FB8638__EB0949F0FCDF19D810E032BE2936475629CF7F15, StartTime=2016.05.18-10.32.40, HierarchicalDDC=, DataSize=645, Duration=4.438948, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B7B38531465A3079E__618481FA1DE083DA9E39A7FD9FE2BC6C39ABBA4A, StartTime=2016.05.18-10.32.40, HierarchicalDDC=, DataSize=401, Duration=4.016001, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C250BF544AF8964FA__EFFE826DB5388B1A79F8A2AAE782A673E94E879C, StartTime=2016.05.18-10.32.40, HierarchicalDDC=, DataSize=401, Duration=4.256163, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_FA789EE04E36820D3__454F155BEF6B0AE1229CFF4D97BFEBADBF5B937C, StartTime=2016.05.18-10.32.40, HierarchicalDDC=, DataSize=1197, Duration=4.867229, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_F82A594C4B875B769__4F05BC97B82F1C1F3B14DC20D84B28A2B38EC140, StartTime=2016.05.18-10.32.40, HierarchicalDDC=, DataSize=889, Duration=6.319698, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_11D4ED3C4C2BE0399__A2AE21F2BA26D56FC351AC0C479CD6F9927FC7EE, StartTime=2016.05.18-10.32.40, HierarchicalDDC=, DataSize=401, Duration=3.885672, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E9356B6B4046F523E__8DDE432C61829A5745523B96E9EE93C216137F49, StartTime=2016.05.18-10.32.40, HierarchicalDDC=, DataSize=2277, Duration=5.141821, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_100168104116FE9F9__F43EE19E2FADA8AD3A905E49EE53649AD7489168, StartTime=2016.05.18-10.32.40, HierarchicalDDC=, DataSize=401, Duration=7.547568, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_EBD7CFB543B03F139__AD4FFE5A9367F252B8ECCDFA5AC0543A161BA4F0, StartTime=2016.05.18-10.32.41, HierarchicalDDC=, DataSize=401, Duration=6.496746, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9024CACA4AB4E4CD4__DFBAF6C9B438593444215665085C28DC54112DFB, StartTime=2016.05.18-10.32.41, HierarchicalDDC=, DataSize=1873, Duration=7.354125, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_FF__87FA06170AC8A7DF05A8D66D1A333B293A922894, StartTime=2016.05.18-10.32.47, HierarchicalDDC=, DataSize=926185, Duration=7.698387, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5320A7A446872854894DB188500D7AD__50FDFACDEC938D08B276D4D28B68E89F7DA565B2, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=278966, Duration=7.041827, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_76CDED3F447B2B8BF021F4AF4EB4A9F__3B346AAADF4CA8C93D35FAC28231F95970F4AF2E, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=281344, Duration=7.812735, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_4, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F3__AED1AA04F80E9096E481C7727A66C5FA9294BFAF, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=85101, Duration=7.416833, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_30BA0633497FD0E2A13093B49255398__D0CCE08E305A1E356E6EDFE7BAF3FD952C910171, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=26774, Duration=7.714372, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8D6A1A004636B9507253059D40C55F3__F307B33AF2B406543FC5922DB2D5DECC0D850ADC, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=26774, Duration=6.316826, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_5, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_16__0CDDC0D77585FB42C9FC6F29B6F39BFF7E0241BA, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=49233, Duration=6.965600, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_57DDFBB34A97BE66299BAA838B6EB61__F6DC96191F1473BCA99FBE021B64BE7E32E83B7F, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=12776, Duration=5.547561, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0791A2C54C6981871BF94CB5D158B22__7870F750C7F10828829C5B414B268FA90D6E7D8E, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=12776, Duration=7.198386, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_7, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_DE__FF4896873B8B3E7F63A87435F51174047039880D, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=155229, Duration=6.763548, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9CFA4B6649007CDEA270B2A45B327BC__3C33E588630A3E0EB6FAB73BF5FC57147126DBFA, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=41352, Duration=8.470524, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_072A24CA445CAD1A71263B9A58E0A39__6BB8D6D12E6835DEEE441F656EA7CDD1599AAB09, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=41352, Duration=12.097996, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_08__E8463BE3C5EE3A034219FEC69F832EF3F370F91B, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=23797, Duration=5.811498, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B88E6F794EEA3BF0F1AE26AD0626E0E__22AFCB6FE07504B0EB8F8DD5C977921BCFDEFAF7, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=6768, Duration=5.392231, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_7, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_08__3BCC48C54A203C430F9CBA3F4178A3FC110FE410, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=23797, Duration=8.442656, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EE7550324F5447579FF304B82C71E2F__C6325D1134A5F627EE7253029D76D6E0F5BBD802, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=8202, Duration=8.580770, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_EA__56750959C41CF295C6DF8CDF129838E6A9FBDF3C, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=30077, Duration=10.639794, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E7C7AD2E4DDFBA446353ADBEEED30DE__6C1ED56E66C915A580B6524B58DEFA5D1C8ED739, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=8024, Duration=6.208629, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
