CookerStat, GenerateAssetRegistry=0.024591, Initialize=0.135656, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_42FA2E48482A5CF70__4A12EAF7085F3B4CB51C8F897C758F6CA8ADA486, StartTime=2016.05.19-14.15.09, HierarchicalDDC=, DataSize=401, Duration=9.392246, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId4DD809D14E28D3AB5FCDAEA7AE1CA192_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_68AB6F1F43ECE2B55__38CD2AD39DCED0ADE8318DE8CB49C98DE949BA4F, StartTime=2016.05.19-14.15.09, HierarchicalDDC=, DataSize=2909, Duration=3.824197, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7144FF0B4A95E7DF2__9A5C4F468870729C9ADAE52AE81D154A8D411092, StartTime=2016.05.19-14.15.09, HierarchicalDDC=, DataSize=401, Duration=3.562719, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_8D6A1A004636B9507__52274F9471BD9E3810378735E8D05FAD35E50D34, StartTime=2016.05.19-14.15.09, HierarchicalDDC=, DataSize=401, Duration=4.970100, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId4DD809D14E28D3AB5FCDAEA7AE1CA192_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_76CDED3F447B2B8BF__CCD3E0866970449033236929D2D5B3D7F3475038, StartTime=2016.05.19-14.15.09, HierarchicalDDC=, DataSize=2277, Duration=4.359852, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E85F5F84450A33B98__B9DE8F7ED0C7917C040D0C3D64F09656A03EC90D, StartTime=2016.05.19-14.15.09, HierarchicalDDC=, DataSize=401, Duration=3.805753, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_EE7550324F5447579__520F68501ED19F47185C9F2404D0802F5B6E4AE0, StartTime=2016.05.19-14.15.09, HierarchicalDDC=, DataSize=1341, Duration=4.034851, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId4DD809D14E28D3AB5FCDAEA7AE1CA192_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_072A24CA445CAD1A7__CE690F0F0354736B74E4600CCD903921C51AE748, StartTime=2016.05.19-14.15.09, HierarchicalDDC=, DataSize=401, Duration=4.000835, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0791A2C54C6981871__4E217A69C387F93A738AAE6BAD3C1AD93A10B396, StartTime=2016.05.19-14.15.09, HierarchicalDDC=, DataSize=401, Duration=3.706161, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F3__DBFED57CE87C1C0A6A5FC4B79581B8A08F580180, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=307457, Duration=5.305756, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A2AF2A064930A083677AF5A192101EC__99853B0A10A72089BACADDEECB6273685C210FD6, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=87476, Duration=5.718052, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
