CookerStat, GenerateAssetRegistry=0.039347, Initialize=0.257786, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_23BB5056404B28602__BC65FB016A9C74961193694AE1A141432846B09B, StartTime=2016.05.21-13.40.53, HierarchicalDDC=, DataSize=401, Duration=17.938177, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C521E20E4EF6D04F5__06CF8124183B8C3A29AA1B1214031468E384B5EA, StartTime=2016.05.21-13.40.53, HierarchicalDDC=, DataSize=401, Duration=16.036123, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_08C67EFD48EC90A35__99B77FA0419A79BFB84923FDAE9EF7ED0320B153, StartTime=2016.05.21-13.40.53, HierarchicalDDC=, DataSize=401, Duration=6.148383, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7DFBB94E41C806CDD__AFDDC93A87A8E88A62E7F54369D9232FC3FC6C93, StartTime=2016.05.21-13.40.53, HierarchicalDDC=, DataSize=1077, Duration=4.989363, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_DBDB468847CA63231__F117EE8EB87E2D433A4CEEC12BC1CB3C3965D630, StartTime=2016.05.21-13.40.53, HierarchicalDDC=, DataSize=645, Duration=4.683211, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_8605D50F419D28BC1__8981600EDB5B6F5F861D22957D5994CD271A47A5, StartTime=2016.05.21-13.40.53, HierarchicalDDC=, DataSize=401, Duration=4.752889, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_DA7D17134682A7FE3__CA55D601C77DA34399CDB1D74083746D2C523D74, StartTime=2016.05.21-13.40.54, HierarchicalDDC=, DataSize=401, Duration=4.681162, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_812EFB0A4BE06E7573406CBBEB99A24C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.54, Duration=30.758720, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_812EFB0A4BE06E7573406CBBEB99A__0BDEDC1CC907D20BE2728484A46759D1387A1A2F, StartTime=2016.05.21-13.40.54, HierarchicalDDC=, DataSize=65799, Duration=7.388960, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_812EFB0A4BE06E7573406CBBEB99A__7824B8373BE22B8D99C247F6300656655C724FAE, StartTime=2016.05.21-13.40.54, HierarchicalDDC=, DataSize=16647, Duration=7.358223, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_812EFB0A4BE06E7573406CBBEB99A__7A12F2B5294E0B777303BAB21088CBE217998622, StartTime=2016.05.21-13.40.54, HierarchicalDDC=, DataSize=6604, Duration=7.272568, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_9126C34C475D524F310D01AC158FC8C9_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.54, Duration=79.840866, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_9126C34C475D524F310D01AC158FC__0A50B458C3F4511AD951D51E8524029900F3C278, StartTime=2016.05.21-13.40.55, HierarchicalDDC=, DataSize=262407, Duration=6.281581, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_9126C34C475D524F310D01AC158FC__96C0C8AEB826F1AACB07E0F1A7E671CEE97D3423, StartTime=2016.05.21-13.40.55, HierarchicalDDC=, DataSize=65799, Duration=6.006989, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_9126C34C475D524F310D01AC158FC__DB14B2D8C997246647C919FEDE5339909CBAF5A2, StartTime=2016.05.21-13.40.55, HierarchicalDDC=, DataSize=16647, Duration=6.003711, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_675CD02E44BE0A9414D44496E78C2F8F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.55, Duration=18.350479, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_9126C34C475D524F310D01AC158FC__110DBFAAF66F5C829F3EADEEE4C4F88EA376B296, StartTime=2016.05.21-13.40.55, HierarchicalDDC=, DataSize=6899, Duration=6.908223, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_675CD02E44BE0A9414D44496E78C2__81D0ABD3740FA546420B451B2C8D57DF8F9F2154, StartTime=2016.05.21-13.40.55, HierarchicalDDC=, DataSize=16647, Duration=6.348386, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_675CD02E44BE0A9414D44496E78C2__24FF98839E2F2552C9021EDDFAAE2F25E3318181, StartTime=2016.05.21-13.40.55, HierarchicalDDC=, DataSize=6309, Duration=6.298382, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_DB9F1C6F452C547B78BDDAB4D4C0834D_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.55, Duration=419.842957, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_DB9F1C6F452C547B78BDDAB4D4C08__7680FF89750DA3C46AC6DE95F31FBAC91F8B7C63, StartTime=2016.05.21-13.40.55, HierarchicalDDC=, DataSize=1048841, Duration=9.002496, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
