CookerStat, GenerateAssetRegistry=0.028688, Initialize=0.153277, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_87__01BD4ED8B6392D17B12A2AF20BA46EF6AC2C5CDA, StartTime=2016.06.01-03.10.14, HierarchicalDDC=, DataSize=245825, Duration=4.454933, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D5EF701641C305388212CEB6CE1BE0E__B40A407FFD105311C41F95152C91A4D0790E2F52, StartTime=2016.06.01-03.10.14, HierarchicalDDC=, DataSize=75520, Duration=5.178705, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_87__63CA697053D37A315D4D8C1B2D2A6E067ECE24CD, StartTime=2016.06.01-03.10.14, HierarchicalDDC=, DataSize=245825, Duration=5.190179, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2A51E8AC46FE72C84B0533AE12EA25E__5C48FD85055B334080496EF352FF84896A5F68A9, StartTime=2016.06.01-03.10.14, HierarchicalDDC=, DataSize=75520, Duration=4.253704, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_1, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_D2__FAA99D6DD51440FF2053F20B9E1182273A599D50, StartTime=2016.06.01-03.10.15, HierarchicalDDC=, DataSize=925961, Duration=5.861905, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_27C7A085464A9516943A7792B91CA9F__1E3DFF4E959A541C5103F9C0FEDCE1AA702F4584, StartTime=2016.06.01-03.10.15, HierarchicalDDC=, DataSize=277286, Duration=5.254116, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_D2__C447F7938940A7B2C4F2B5959C7514DFEA24A7D7, StartTime=2016.06.01-03.10.21, HierarchicalDDC=, DataSize=925961, Duration=5.820103, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9FE01517456B7EFABA884D8C0362BC4__C260D212635E9CE714D92EC7602E1D954A79C669, StartTime=2016.06.01-03.10.21, HierarchicalDDC=, DataSize=279664, Duration=4.389771, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7093E90C4A506475C__2E9917A122F0C13071F96F47999D54F54341367F, StartTime=2016.06.01-03.10.21, HierarchicalDDC=, DataSize=401, Duration=3.556158, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_EC__0E099C0FB5230221C8B840FB51E1A6BA2C0B0428, StartTime=2016.06.01-03.10.21, HierarchicalDDC=, DataSize=2273, Duration=4.974194, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_57FD80E641F6836722A8A99A75E97DD__E81DD3C4154D03447116B4264211F1C1ACBA013D, StartTime=2016.06.01-03.10.21, HierarchicalDDC=, DataSize=962, Duration=4.287720, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
