CookerStat, GenerateAssetRegistry=0.061885, Initialize=0.225000, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId3A5B442841F63FDF2273F2B5E29C8E6B_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_64__64BC42AD3172C13BB2937F0BA9F1422DC63A4FC9, StartTime=2016.06.04-17.16.49, HierarchicalDDC=, DataSize=152049, Duration=10.469705, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId2C8B328A4105B1C61243F1B34239194D_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E64F30CA48B0D231F__96C97CF7E601D2641323013CFF9DEEDB1F31B1FE, StartTime=2016.06.04-17.16.49, HierarchicalDDC=, DataSize=401, Duration=7.170107, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId8D1DBDB147FC1E5B17CC7D99D53C14F5_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_AE__67DB80BDEF01A052A0DAFC83E6E4F9DF01DA7697, StartTime=2016.06.04-17.16.49, HierarchicalDDC=, DataSize=23797, Duration=6.306987, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId3A5B442841F63FDF2273F2B5E29C8E6B_1, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_65__60CF8914171242120D178564862A69936DADF5FB, StartTime=2016.06.04-17.16.49, HierarchicalDDC=, DataSize=29993, Duration=4.241411, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId2C8B328A4105B1C61243F1B34239194D_1, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_15__67391D925B8EA3865ACE271B12C0E64D44DF6468, StartTime=2016.06.04-17.16.49, HierarchicalDDC=, DataSize=617817, Duration=6.545514, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId8D1DBDB147FC1E5B17CC7D99D53C14F5_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_2CAC69DE4FA102FB8__B30B1BF94B58BBCF620B2AD0E8BC97AABD70F66F, StartTime=2016.06.04-17.16.49, HierarchicalDDC=, DataSize=401, Duration=4.088126, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId3A5B442841F63FDF2273F2B5E29C8E6B_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_290A0C014B3090BCA__6F8A112B1C6C713E39A2F38929876E1D929C351E, StartTime=2016.06.04-17.16.49, HierarchicalDDC=, DataSize=401, Duration=3.894273, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId2C8B328A4105B1C61243F1B34239194D_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_AA__F99601CF20872132E9B2187AE84D1D87F51FEA71, StartTime=2016.06.04-17.16.49, HierarchicalDDC=, DataSize=253689, Duration=5.506575, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId8D1DBDB147FC1E5B17CC7D99D53C14F5_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_10A3C0A54F25F646BC56EBAB9E0A9CC__E41EA88DF363E4431678AFC06012F1FEDE54B6E0, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=174004, Duration=7.846746, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId3A5B442841F63FDF2273F2B5E29C8E6B_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_10A3C0A54F25F646B__47A90620D5E8007015F16FDC31C3F53C585120D2, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=401, Duration=6.746337, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId2C8B328A4105B1C61243F1B34239194D_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2EB0EB7540962711C57C798B246D14D__E0EA320755A6292F2791C6452060D18850A63CDF, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=22768, Duration=7.486910, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId8D1DBDB147FC1E5B17CC7D99D53C14F5_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_2EB0EB7540962711C__FF65441319CD95379E7C3A899F187EBB4EDCECF0, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=401, Duration=5.779937, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId3A5B442841F63FDF2273F2B5E29C8E6B_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_01A716FF441966333066B0B73A25CA2__548FCB8769A507F57C8417841A772AF349338939, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=8024, Duration=8.179534, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId2C8B328A4105B1C61243F1B34239194D_4, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_01A716FF441966333__DCDD0A7DF87F73DA5C4CD991DB6B737E3B63C787, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=401, Duration=7.152073, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId8D1DBDB147FC1E5B17CC7D99D53C14F5_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D8F4422D43060EDE019D4B9DFC61274__088A8CDF77008AA9E9CBF17118339F7AB00443F7, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=8202, Duration=6.431166, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId3A5B442841F63FDF2273F2B5E29C8E6B_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D8F4422D43060EDE0__85216EFCA039BB66243485711A97589C3C9D1D74, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=1341, Duration=4.139356, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId8D1DBDB147FC1E5B17CC7D99D53C14F5_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B2F4754341822AC8DF8256BF9E010BD__92CF661502635A2EBC6781518BD2A7799E333294, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=41278, Duration=4.364766, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId2C8B328A4105B1C61243F1B34239194D_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B2F4754341822AC8D__57A289DE4E1BA1BF7690B1629BE3970D2D0F02FB, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=2277, Duration=3.836896, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
DDCTransactionId3A5B442841F63FDF2273F2B5E29C8E6B_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_2155F7984AC28F3CB__62D24AFD9BB53D5243540A389673CF1BC93880B0, StartTime=2016.06.04-17.16.50, HierarchicalDDC=, DataSize=645, Duration=3.884848, RunGuid=RunID3C2BC2694159C167A29EA788EABC77E5
