CookerStat, GenerateAssetRegistry=0.040166, Initialize=0.205327, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_48E904234178F0B6B__84819960B62913B40F7AADB64894528493B2EF12, StartTime=2016.06.08-08.52.14, HierarchicalDDC=, DataSize=1873, Duration=6.504122, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E4E982BA4435EA9A5__3CEE64763A51027634FBC72E7D5F0FF3BB852380, StartTime=2016.06.08-08.52.14, HierarchicalDDC=, DataSize=645, Duration=4.853711, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_80E12B5E49C559C27__31E7EFFFAA74B28CF5252088DF6D4B112C210438, StartTime=2016.06.08-08.52.14, HierarchicalDDC=, DataSize=1133, Duration=6.321747, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B1689084499A1D833__664F9EA4D814E494693424FC2488458883A3C2CF, StartTime=2016.06.08-08.52.14, HierarchicalDDC=, DataSize=645, Duration=11.119720, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B0B5F16544AC7CC49__F5621EC46860A6081EB76B67260244DA8CE1CF0B, StartTime=2016.06.08-08.52.14, HierarchicalDDC=, DataSize=645, Duration=7.312324, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FC5C82EA429F2E4BA099A585E96D6A6__5C300B4B8E20E76A751441DAA0D724AFF1617220, StartTime=2016.06.08-08.52.15, HierarchicalDDC=, DataSize=12776, Duration=4.298378, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_FC5C82EA429F2E4BA__60B66032E0C266A97C4A516AD4512B260D809284, StartTime=2016.06.08-08.52.15, HierarchicalDDC=, DataSize=645, Duration=3.906570, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_326F40004A2666C98__928A76388739F8A404C811FEB00F74B1823CED75, StartTime=2016.06.08-08.52.15, HierarchicalDDC=, DataSize=2277, Duration=5.482402, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_31FA85914DFE2C6C2__82FF2353C9A8EBB864D6BDEFC8D54FB5970CF6BB, StartTime=2016.06.08-08.52.15, HierarchicalDDC=, DataSize=2277, Duration=7.722981, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_28348D7D423EAF9E4__FCC7B924916CC98C792EAE495F4AB50A7BD08E54, StartTime=2016.06.08-08.52.15, HierarchicalDDC=, DataSize=645, Duration=4.781578, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_5426174949ED7B2F8__139DD5FA09C517B0CB47EF0860161DFC86E85288, StartTime=2016.06.08-08.52.15, HierarchicalDDC=, DataSize=1729, Duration=5.666826, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
